epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,104.721,1.32355,0.73373,0.99704,0.72676,0.000299435,0.000299435,0.000299435
2,241.132,0.64469,0.85207,1,0.47875,0.000590507,0.000590507,0.000590507
3,376.1,0.46373,0.7929,0.99704,0.55568,0.00086958,0.00086958,0.00086958
4,531.652,0.37733,0.84911,1,0.44887,0.000855005,0.000855005,0.000855005
5,738.162,0.36455,0.86391,0.99704,0.49537,0.000837007,0.000837007,0.000837007
6,941.602,0.29348,0.85799,0.99704,0.48488,0.000819009,0.000819009,0.000819009
7,1147.94,0.25391,0.85799,0.99408,0.55081,0.000801011,0.000801011,0.000801011
8,1418.81,0.2267,0.8787,1,0.49174,0.000783013,0.000783013,0.000783013
9,1761.41,0.18774,0.87574,1,0.43642,0.000765014,0.000765014,0.000765014
10,2500.4,0.16775,0.84911,1,0.52141,0.000747016,0.000747016,0.000747016
11,2826.02,0.17626,0.86686,0.99704,0.46248,0.000729018,0.000729018,0.000729018
12,2967.35,0.13435,0.86391,1,0.53342,0.00071102,0.00071102,0.00071102
13,3092.03,0.1442,0.85799,0.99704,0.55416,0.000693022,0.000693022,0.000693022
14,3218.65,0.11877,0.85799,1,0.54826,0.000675023,0.000675023,0.000675023
15,3345.5,0.10546,0.85503,0.99704,0.5983,0.000657025,0.000657025,0.000657025
16,3472.33,0.09915,0.86686,0.99408,0.51558,0.000639027,0.000639027,0.000639027
17,3600.48,0.11695,0.84024,0.99704,0.65024,0.000621029,0.000621029,0.000621029
18,3727.19,0.09478,0.85799,1,0.5103,0.000603031,0.000603031,0.000603031
19,3863.68,0.08707,0.88462,1,0.48972,0.000585032,0.000585032,0.000585032
20,3991.22,0.08639,0.87574,0.99704,0.56526,0.000567034,0.000567034,0.000567034
21,4119.07,0.08596,0.86982,0.99408,0.52925,0.000549036,0.000549036,0.000549036
22,4246.68,0.079,0.85207,0.99704,0.55834,0.000531038,0.000531038,0.000531038
23,4373.41,0.07869,0.86982,0.99704,0.63951,0.00051304,0.00051304,0.00051304
24,4499.88,0.07236,0.87574,0.99704,0.56558,0.000495041,0.000495041,0.000495041
25,4630.36,0.07397,0.88166,0.99704,0.50329,0.000477043,0.000477043,0.000477043
26,4761.22,0.07753,0.86982,0.99704,0.54731,0.000459045,0.000459045,0.000459045
27,4891.28,0.05885,0.88757,0.99408,0.52092,0.000441047,0.000441047,0.000441047
28,5020.46,0.05422,0.88166,0.99408,0.51518,0.000423049,0.000423049,0.000423049
29,5151.69,0.05992,0.88166,0.99704,0.55713,0.00040505,0.00040505,0.00040505
30,5280.92,0.04555,0.88166,0.99704,0.51698,0.000387052,0.000387052,0.000387052
31,5412.8,0.05928,0.88166,1,0.58326,0.000369054,0.000369054,0.000369054
32,5546.87,0.05617,0.88757,1,0.52773,0.000351056,0.000351056,0.000351056
33,5684.76,0.05641,0.88462,0.99704,0.56624,0.000333058,0.000333058,0.000333058
34,5813.59,0.04798,0.87278,1,0.57759,0.000315059,0.000315059,0.000315059
35,14885.2,0.03502,0.8787,0.99704,0.57184,0.000297061,0.000297061,0.000297061
36,15052,0.046,0.89053,0.99704,0.58119,0.000279063,0.000279063,0.000279063
37,15193.6,0.03223,0.88462,0.99704,0.60405,0.000261065,0.000261065,0.000261065
38,15304.4,0.04343,0.8787,0.99704,0.64724,0.000243067,0.000243067,0.000243067
39,15412.7,0.0399,0.87574,0.99704,0.60335,0.000225068,0.000225068,0.000225068
40,15530.6,0.04316,0.88166,0.99704,0.56095,0.00020707,0.00020707,0.00020707
41,15642.5,0.05042,0.88757,0.99704,0.59161,0.000189072,0.000189072,0.000189072
42,15777.4,0.03864,0.88166,0.99704,0.56602,0.000171074,0.000171074,0.000171074
43,15963.6,0.03461,0.87574,0.99704,0.59655,0.000153076,0.000153076,0.000153076
44,16072.8,0.03823,0.87278,0.99704,0.54027,0.000135077,0.000135077,0.000135077
45,16180.5,0.04397,0.87574,0.99704,0.58061,0.000117079,0.000117079,0.000117079
46,16325.5,0.02994,0.87278,0.99704,0.54239,9.9081e-05,9.9081e-05,9.9081e-05
47,16439.7,0.03567,0.88166,0.99704,0.56172,8.10828e-05,8.10828e-05,8.10828e-05
48,16541.7,0.02384,0.87574,0.99704,0.53587,6.30846e-05,6.30846e-05,6.30846e-05
49,16640.9,0.03197,0.87574,0.99704,0.57664,4.50864e-05,4.50864e-05,4.50864e-05
50,16744.2,0.03624,0.86982,0.99704,0.55163,2.70882e-05,2.70882e-05,2.70882e-05
